

# The following lines are used to format the Matrix

!T 211 321 2212
!F 211 321 2212 0
!P 15

# !T is a list of particles to be identified.
# !F is a list of particles that !T may be mis-identified as.
# !P is the number of momentum bins.

# P matrix
# RICH PID method: EVT
# h(id): 1:pi 2:k 3:p 4:unidentified
# Format:
# #tracks Pbin Pmin Pmax h(id)=[1...4] pi(true) k(true) p(true)
1  1     1.0     2.0    1       0.967060       0.056371       0.051693
1  1     1.0     2.0    2       0.000019       0.002052       0.000219
1  1     1.0     2.0    3       0.000618       0.020302       0.016333
1  1     1.0     2.0    4       0.032303       0.921274       0.931755
1  2     2.0     3.0    1       0.962514       0.022842       0.039187
1  2     2.0     3.0    2       0.004946       0.785202       0.042091
1  2     2.0     3.0    3       0.032535       0.191957       0.918722
1  2     2.0     3.0    4       0.000004       0.000000       0.000000
1  3     3.0     4.0    1       0.986426       0.014632       0.025569
1  3     3.0     4.0    2       0.001281       0.933237       0.040165
1  3     3.0     4.0    3       0.012294       0.052130       0.934266
1  3     3.0     4.0    4       0.000000       0.000000       0.000000
1  4     4.0     5.0    1       0.993897       0.017130       0.013976
1  4     4.0     5.0    2       0.002284       0.963254       0.020603
1  4     4.0     5.0    3       0.003819       0.019615       0.965421
1  4     4.0     5.0    4       0.000000       0.000000       0.000000
1  5     5.0     6.0    1       0.996395       0.018870       0.010189
1  5     5.0     6.0    2       0.002513       0.972402       0.011383
1  5     5.0     6.0    3       0.001092       0.008728       0.978429
1  5     5.0     6.0    4       0.000000       0.000000       0.000000
1  6     6.0     7.0    1       0.997777       0.015641       0.006580
1  6     6.0     7.0    2       0.001709       0.978243       0.023196
1  6     6.0     7.0    3       0.000514       0.006116       0.970224
1  6     6.0     7.0    4       0.000000       0.000000       0.000000
1  7     7.0     8.0    1       0.998280       0.014592       0.006833
1  7     7.0     8.0    2       0.001431       0.980268       0.094595
1  7     7.0     8.0    3       0.000289       0.005140       0.898573
1  7     7.0     8.0    4       0.000000       0.000000       0.000000
1  8     8.0     9.0    1       0.998419       0.013429       0.007655
1  8     8.0     9.0    2       0.001289       0.978471       0.273368
1  8     8.0     9.0    3       0.000292       0.008100       0.718977
1  8     8.0     9.0    4       0.000000       0.000000       0.000000
1  9     9.0    10.0    1       0.998722       0.011277       0.005363
1  9     9.0    10.0    2       0.000885       0.974886       0.378117
1  9     9.0    10.0    3       0.000393       0.013836       0.616519
1  9     9.0    10.0    4       0.000000       0.000000       0.000000
1 10    10.0    11.0    1       0.998190       0.009588       0.005293
1 10    10.0    11.0    2       0.001484       0.978492       0.218904
1 10    10.0    11.0    3       0.000326       0.011920       0.775803
1 10    10.0    11.0    4       0.000000       0.000000       0.000000
1 11    11.0    12.0    1       0.996519       0.020769       0.003941
1 11    11.0    12.0    2       0.003154       0.967391       0.093468
1 11    11.0    12.0    3       0.000326       0.011840       0.902590
1 11    11.0    12.0    4       0.000000       0.000000       0.000000
1 12    12.0    13.0    1       0.994505       0.047991       0.001751
1 12    12.0    13.0    2       0.004808       0.945360       0.033275
1 12    12.0    13.0    3       0.000687       0.006649       0.964974
1 12    12.0    13.0    4       0.000000       0.000000       0.000000
1 13    13.0    14.0    1       0.988372       0.084579       0.004360
1 13    13.0    14.0    2       0.011068       0.906542       0.007267
1 13    13.0    14.0    3       0.000560       0.008879       0.988372
1 13    13.0    14.0    4       0.000000       0.000000       0.000000
1 14    14.0    15.0    1       0.970511       0.128166       0.002538
1 14    14.0    15.0    2       0.028775       0.861857       0.002538
1 14    14.0    15.0    3       0.000713       0.009977       0.994924
1 14    14.0    15.0    4       0.000000       0.000000       0.000000
1 15    15.0    16.0    1       0.954672       0.170877       0.005348
1 15    15.0    16.0    2       0.043340       0.806835       0.005348
1 15    15.0    16.0    3       0.001988       0.022288       0.989305
1 15    15.0    16.0    4       0.000000       0.000000       0.000000
2  1     1.0     2.0    1       0.945785       0.098302       0.093578
2  1     1.0     2.0    2       0.004637       0.010734       0.005198
2  1     1.0     2.0    3       0.007284       0.022862       0.015315
2  1     1.0     2.0    4       0.042294       0.868102       0.885909
2  2     2.0     3.0    1       0.943438       0.094396       0.096716
2  2     2.0     3.0    2       0.008714       0.700956       0.045061
2  2     2.0     3.0    3       0.042014       0.197335       0.855671
2  2     2.0     3.0    4       0.005834       0.007313       0.002553
2  3     3.0     4.0    1       0.967744       0.087428       0.085714
2  3     3.0     4.0    2       0.005885       0.841473       0.034314
2  3     3.0     4.0    3       0.020570       0.065022       0.876835
2  3     3.0     4.0    4       0.005801       0.006077       0.003137
2  4     4.0     5.0    1       0.976889       0.098495       0.073177
2  4     4.0     5.0    2       0.006765       0.866980       0.022936
2  4     4.0     5.0    3       0.009998       0.026883       0.899839
2  4     4.0     5.0    4       0.006348       0.007641       0.004048
2  5     5.0     6.0    1       0.981936       0.100975       0.074204
2  5     5.0     6.0    2       0.006025       0.873453       0.015685
2  5     5.0     6.0    3       0.006272       0.018069       0.904319
2  5     5.0     6.0    4       0.005767       0.007503       0.005792
2  6     6.0     7.0    1       0.982477       0.103395       0.068287
2  6     6.0     7.0    2       0.005302       0.877100       0.027516
2  6     6.0     7.0    3       0.005663       0.011920       0.898172
2  6     6.0     7.0    4       0.006558       0.007585       0.006025
2  7     7.0     8.0    1       0.983795       0.096331       0.060851
2  7     7.0     8.0    2       0.004460       0.880854       0.102453
2  7     7.0     8.0    3       0.005346       0.014810       0.827693
2  7     7.0     8.0    4       0.006399       0.008005       0.009003
2  8     8.0     9.0    1       0.983797       0.088465       0.065757
2  8     8.0     9.0    2       0.004816       0.888064       0.242085
2  8     8.0     9.0    3       0.004636       0.015246       0.687287
2  8     8.0     9.0    4       0.006751       0.008225       0.004871
2  9     9.0    10.0    1       0.984322       0.080492       0.053696
2  9     9.0    10.0    2       0.004384       0.885714       0.366537
2  9     9.0    10.0    3       0.005499       0.026114       0.570428
2  9     9.0    10.0    4       0.005796       0.007680       0.009339
2 10    10.0    11.0    1       0.986247       0.079569       0.044944
2 10    10.0    11.0    2       0.003599       0.889630       0.210986
2 10    10.0    11.0    3       0.004370       0.022587       0.737828
2 10    10.0    11.0    4       0.005784       0.008214       0.006242
2 11    11.0    12.0    1       0.980468       0.080948       0.071429
2 11    11.0    12.0    2       0.008176       0.895339       0.075630
2 11    11.0    12.0    3       0.005451       0.015536       0.846639
2 11    11.0    12.0    4       0.005905       0.008177       0.006303
2 12    12.0    13.0    1       0.978486       0.095588       0.050781
2 12    12.0    13.0    2       0.012749       0.873529       0.039062
2 12    12.0    13.0    3       0.005578       0.023529       0.910156
2 12    12.0    13.0    4       0.003187       0.007353       0.000000
2 13    13.0    14.0    1       0.971621       0.139842       0.042683
2 13    13.0    14.0    2       0.017924       0.828496       0.024390
2 13    13.0    14.0    3       0.003734       0.026385       0.926829
2 13    13.0    14.0    4       0.006721       0.005277       0.006098
